ref	query	dist	pvalue	sharedhashes	Organism.Name	Strain	Assembly	Level
CP050275.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	10553	GCA_011765385.1	Complete
CP050280.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	9949	GCA_011765405.1	Complete
CP050285.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	9630	GCA_011765425.1	Complete
CP054285.1.fa	edge_203	0.0778587	0	108/1000	Klebsiella pneumoniae	IDR1800050501-01-02	GCA_014170015.1	Complete
CP056191.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	RHBSTW-00995	GCA_013782105.1	Complete
CP056216.1.fa	edge_203	0.0747985	0	116/1000	Klebsiella pneumoniae	RHBSTW-00982	GCA_013783245.1	Complete
CP056830.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	RHBSTW-00128	GCA_013791265.1	Complete
CP056854.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae	RHBSTW-00113	GCA_013792545.1	Complete
CP056878.1.fa	edge_203	0.0778587	0	108/1000	Klebsiella pneumoniae	RHBSTW-00066	GCA_013796245.1	Complete
CP056883.1.fa	edge_203	0.0778587	0	108/1000	Klebsiella pneumoniae	RHBSTW-00062	GCA_013796485.1	Complete
CP057034.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae	RHB39-C24	GCA_013805705.1	Complete
CP057066.1.fa	edge_203	0.0782587	0	107/1000	Klebsiella pneumoniae	RHB39-C10	GCA_013811445.1	Complete
CP057069.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	RHB39-C09	GCA_013811845.1	Complete
CP057099.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	RHB38-C06	GCA_013813035.1	Complete
CP057313.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae	RHB30-C05	GCA_013826045.1	Complete
CP057459.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae	RHB26-C08	GCA_013834745.1	Complete
CP058798.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	BA27935	GCA_011742775.2	Complete
CP059379.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	NICU_1_P3	GCA_011682835.2	Complete
CP059889.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae subsp. pneumoniae	KP18069	GCA_014123345.1	Complete
LR134162.1.fa	edge_203	0.0829489	0	96/1000	Klebsiella pneumoniae	NCTC13635	GCA_900635735.1	Complete
LR588410.1.fa	edge_203	0.0762985	0	112/1000	Klebsiella pneumoniae	NCTC9171	GCA_901421965.1	Complete
NC_009648.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	ATCC 700721; MGH 78578	GCA_000016305.1	Complete
NC_012731.1.fa	edge_203	0.0848014	0	92/1000	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	NTUH-K2044	GCA_000009885.1	Complete
NC_016845.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae subsp. pneumoniae HS11286	HS11286	GCA_000240185.2	Complete
NC_017540.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae KCTC 2242	KCTC 2242	GCA_000220485.1	Complete
NC_018522.1.fa	edge_203	0.0848014	0	92/1000	Klebsiella pneumoniae subsp. pneumoniae 1084	1084	GCA_000294365.1	Complete
NC_022082.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae JM45	JM45	GCA_000445405.1	Complete
NC_022566.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae CG43	CG43	GCA_000474015.1	Complete
NZ_AP018671.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	GSU10-3	GCA_003584585.1	Complete
NZ_AP018747.1.fa	edge_203	0.0747985	0	116/1000	Klebsiella pneumoniae	KP33	GCA_003574235.1	Complete
NZ_AP018750.1.fa	edge_203	0.0766828	0	111/1000	Klebsiella pneumoniae	KP64	GCA_003574255.1	Complete
NZ_AP018753.1.fa	edge_203	0.0766828	0	111/1000	Klebsiella pneumoniae	KP67	GCA_003574275.1	Complete
NZ_AP019665.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	TA6363	GCA_010367305.1	Complete
NZ_AP021880.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	JUNP 254	GCA_009731405.1	Complete
NZ_AP023148.1.fa	edge_203	0.0778587	0	108/1000	Klebsiella pneumoniae	SMKP03	GCA_013168295.1	Complete
NZ_CP003999.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae subsp. pneumoniae Kp13	Kp13	GCA_000512165.1	Complete
NZ_CP006659.2.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	ATCC BAA-2146	GCA_000364385.3	Complete
NZ_CP006722.1.fa	edge_203	0.0834041	0	95/1000	Klebsiella pneumoniae subsp. pneumoniae 1158	1158	GCA_000814805.1	Complete
NZ_CP006738.1.fa	edge_203	0.0829489	0	96/1000	Klebsiella pneumoniae HK787	HK787	GCA_000813205.1	Complete
NZ_CP006798.1.fa	edge_203	0.0786628	0	106/1000	Klebsiella pneumoniae subsp. pneumoniae PittNDM01	PittNDM01	GCA_000733255.1	Complete
NZ_CP006918.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae 30684/NJST258_2	30684/NJST258_2	GCA_000597905.1	Complete
NZ_CP006923.1.fa	edge_203	0.0838645	0	94/1000	Klebsiella pneumoniae 30660/NJST258_1	30660/NJST258_1	GCA_000598005.1	Complete
NZ_CP007727.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae subsp. pneumoniae KPNIH10	KPNIH10	GCA_000281435.2	Complete
NZ_CP007731.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae subsp. pneumoniae KPNIH27	KPNIH27	GCA_000695935.1	Complete
NZ_CP008797.1.fa	edge_203	0.0786628	0	106/1000	Klebsiella pneumoniae subsp. pneumoniae KPNIH24	KPNIH24	GCA_000714675.1	Complete
NZ_CP008827.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	KPNIH1	GCA_000281535.2	Complete
NZ_CP008831.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae subsp. pneumoniae KPR0928	KPR0928	GCA_000717515.1	Complete
NZ_CP008929.1.fa	edge_203	0.0759181	0	113/1000	Klebsiella pneumoniae	PMK1	GCA_000764615.1	Complete
NZ_CP009114.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	blaNDM-1	GCA_000739495.1	Complete
NZ_CP009208.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae subsp. pneumoniae	ATCC 43816 KPPR1	GCA_000742755.1	Complete
NZ_CP009461.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	XH209	GCA_000775955.1	Complete
NZ_CP009771.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae subsp. pneumoniae	KPNIH33	GCA_000775375.1	Complete
NZ_CP009775.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae subsp. pneumoniae	KPNIH32	GCA_000775395.1	Complete
NZ_CP009863.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae subsp. pneumoniae	KPNIH29	GCA_000784945.1	Complete
NZ_CP009872.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae subsp. pneumoniae	KPNIH30	GCA_000784985.1	Complete
NZ_CP009876.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae subsp. pneumoniae	KPNIH31	GCA_000785005.1	Complete
NZ_CP010361.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	32192	GCA_000807395.3	Complete
NZ_CP010392.1.fa	edge_203	0.0786628	0	106/1000	Klebsiella pneumoniae	34618	GCA_000814305.1	Complete
NZ_CP011313.1.fa	edge_203	0.0774628	0	109/1000	Klebsiella pneumoniae subsp. pneumoniae	234-12	GCA_000981845.1	Complete
NZ_CP011578.1.fa	edge_203	0.0774628	0	109/1000	Klebsiella pneumoniae	CAV1392	GCA_001022035.1	Complete
NZ_CP011624.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	CAV1344	GCA_001022175.1	Complete
NZ_CP011647.1.fa	edge_203	0.0816138	0	99/1000	Klebsiella pneumoniae	CAV1596	GCA_001022235.1	Complete
NZ_CP011976.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae DMC1097	DMC1097	GCA_000417225.2	Complete
NZ_CP011980.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae 500_1420	500_1420	GCA_000406765.2	Complete
NZ_CP011985.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae UHKPC07	UHKPC07	GCA_000417265.2	Complete
NZ_CP011989.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae UHKPC33	UHKPC33	GCA_000417085.2	Complete
NZ_CP012426.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	KP5	GCA_001855315.1	Complete
NZ_CP012560.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae	UCLAOXA232KP_Pt0	GCA_001721725.1	Complete
NZ_CP012561.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae	UCLAOXA232KP	GCA_001741665.1	Complete
NZ_CP012568.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae	UCLAOXA232KP	GCA_001741545.1	Complete
NZ_CP012743.1.fa	edge_203	0.0770708	0	110/1000	Klebsiella pneumoniae subsp. pneumoniae	TGH8	GCA_001611055.1	Complete
NZ_CP012744.1.fa	edge_203	0.0755413	0	114/1000	Klebsiella pneumoniae subsp. pneumoniae	TGH10	GCA_001611095.1	Complete
NZ_CP012745.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae subsp. pneumoniae	TGH13	GCA_001746535.1	Complete
NZ_CP012753.1.fa	edge_203	0.0762985	0	112/1000	Klebsiella pneumoniae	KP617	GCA_001307175.1	Complete
NZ_CP012883.1.fa	edge_203	0.0816138	0	99/1000	Klebsiella pneumoniae KP-1	KP-1	GCA_000465975.2	Complete
NZ_CP012987.1.fa	edge_203	0.0766828	0	111/1000	Klebsiella pneumoniae	KpN01	GCA_001456055.3	Complete
NZ_CP012992.1.fa	edge_203	0.0766828	0	111/1000	Klebsiella pneumoniae	KpN06	GCA_001456095.3	Complete
NZ_CP013322.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	CAV1193	GCA_001456135.1	Complete
NZ_CP013711.1.fa	edge_203	0.0778587	0	108/1000	Klebsiella pneumoniae	J1	GCA_001482345.1	Complete
NZ_CP014004.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae subsp. pneumoniae	NUHL24835	GCA_001521895.1	Complete
NZ_CP014008.1.fa	edge_203	0.0834041	0	95/1000	Klebsiella pneumoniae subsp. pneumoniae	RJF293	GCA_001530015.1	Complete
NZ_CP014010.1.fa	edge_203	0.0848014	0	92/1000	Klebsiella pneumoniae subsp. pneumoniae	RJF999	GCA_001529935.1	Complete
NZ_CP014123.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	FDAARGOS_156	GCA_002951635.1	Complete
NZ_CP014294.1.fa	edge_203	0.0782587	0	107/1000	Klebsiella pneumoniae	KP38731	GCA_002009075.1	Complete
NZ_CP014647.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	KPNIH36	GCA_001675125.1	Complete
NZ_CP014755.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	AATZP	GCA_001648215.1	Complete
NZ_CP014762.1.fa	edge_203	0.0762985	0	112/1000	Klebsiella pneumoniae	KPNIH39	GCA_001663295.1	Complete
NZ_CP015025.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	Kpn223	GCA_001663435.1	Complete
NZ_CP015120.1.fa	edge_203	0.0816138	0	99/1000	Klebsiella pneumoniae	kp757	GCA_002116885.1	Complete
NZ_CP015130.1.fa	edge_203	0.0770708	0	110/1000	Klebsiella pneumoniae	Kpn555	GCA_001663455.1	Complete
NZ_CP015134.1.fa	edge_203	0.0774628	0	109/1000	Klebsiella pneumoniae	ATCC 35657	GCA_001936035.1	Complete
NZ_CP015382.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	CN1	GCA_001952875.1	Complete
NZ_CP015385.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae	NY9	GCA_001952895.1	Complete
NZ_CP015392.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	CR14	GCA_001952915.1	Complete
NZ_CP015500.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae	SKGH01	GCA_001644765.1	Complete
NZ_CP015753.1.fa	edge_203	0.0778587	0	108/1000	Klebsiella pneumoniae	W14	GCA_001646625.1	Complete
NZ_CP015822.1.fa	edge_203	0.0786628	0	106/1000	Klebsiella pneumoniae	blood sample 2	GCA_001705385.1	Complete
NZ_CP015990.1.fa	edge_203	0.0762985	0	112/1000	Klebsiella pneumoniae	BR	GCA_001663195.1	Complete
NZ_CP016159.1.fa	edge_203	0.0778587	0	108/1000	Klebsiella pneumoniae	TH1	GCA_001676825.1	Complete
NZ_CP016811.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	DHQP1002001	GCA_001704235.1	Complete
NZ_CP016813.1.fa	edge_203	0.0848014	0	92/1000	Klebsiella pneumoniae	ED2	GCA_001708245.1	Complete
NZ_CP016814.1.fa	edge_203	0.0843302	0	93/1000	Klebsiella pneumoniae	ED23	GCA_001708225.1	Complete
NZ_CP016923.1.fa	edge_203	0.0790711	0	105/1000	Klebsiella pneumoniae	11	GCA_001709275.1	Complete
NZ_CP016926.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	23	GCA_001709295.1	Complete
NZ_CP017385.1.fa	edge_203	0.0762985	0	112/1000	Klebsiella pneumoniae	KP36	GCA_001750805.1	Complete
NZ_CP017934.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae	CAV1016	GCA_001870165.1	Complete
NZ_CP017985.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	825795-1	GCA_001956965.1	Complete
NZ_CP017994.1.fa	edge_203	0.0843302	0	93/1000	Klebsiella pneumoniae	P1428	GCA_002761315.1	Complete
NZ_CP018056.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae subsp. pneumoniae	H11	GCA_002761515.1	Complete
NZ_CP018140.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	Kp_Goe_822579	GCA_001885255.2	Complete
NZ_CP018306.1.fa	edge_203	0.0733545	0	120/1000	Klebsiella pneumoniae	459	GCA_002814015.1	Complete
NZ_CP018337.1.fa	edge_203	0.0744324	0	117/1000	Klebsiella pneumoniae	Kp_Goe_154414	GCA_001902335.1	Complete
NZ_CP018352.1.fa	edge_203	0.0766828	0	111/1000	Klebsiella pneumoniae	CAV1417	GCA_001902535.1	Complete
NZ_CP018356.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	CAV1453	GCA_001902255.1	Complete
NZ_CP018364.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	Kp_Goe_62629	GCA_001902355.1	Complete
NZ_CP018427.1.fa	edge_203	0.0786628	0	106/1000	Klebsiella pneumoniae	MNCRE69	GCA_001902215.1	Complete
NZ_CP018428.1.fa	edge_203	0.0786628	0	106/1000	Klebsiella pneumoniae	MNCRE78	GCA_001902195.1	Complete
NZ_CP018437.1.fa	edge_203	0.0790711	0	105/1000	Klebsiella pneumoniae	MNCRE53	GCA_001902235.1	Complete
NZ_CP018438.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	Kp_Goe_822917	GCA_001902415.1	Complete
NZ_CP018447.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	Kp_Goe_33208	GCA_001902435.1	Complete
NZ_CP018450.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	Kp_Goe_71070	GCA_001902515.1	Complete
NZ_CP018454.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae	SWU01	GCA_001902475.1	Complete
NZ_CP018458.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	Kp_Goe_39795	GCA_001902395.1	Complete
NZ_CP018671.1.fa	edge_203	0.0766828	0	111/1000	Klebsiella pneumoniae	CAV1042	GCA_001908515.1	Complete
NZ_CP018676.1.fa	edge_203	0.0762985	0	112/1000	Klebsiella pneumoniae	CAV1217	GCA_001908715.1	Complete
NZ_CP018686.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	Kp_Goe_149473	GCA_001908595.1	Complete
NZ_CP018692.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	Kp_Goe_821588	GCA_001908895.1	Complete
NZ_CP018695.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	Kp_Goe_149832	GCA_001908875.1	Complete
NZ_CP018701.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	Kp_Goe_827024	GCA_001908625.1	Complete
NZ_CP018707.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	Kp_Goe_827026	GCA_001908655.1	Complete
NZ_CP018713.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	Kp_Goe_152021	GCA_001908675.1	Complete
NZ_CP018719.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	KP_Goe_828304	GCA_001908695.1	Complete
NZ_CP018735.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	Kp_Goe_121641	GCA_001913175.1	Complete
NZ_CP018816.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	AR_0049	GCA_001922465.1	Complete
NZ_CP018883.1.fa	edge_203	0.0774628	0	109/1000	Klebsiella pneumoniae subsp. pneumoniae	BR7	GCA_002951555.1	Complete
NZ_CP018885.1.fa	edge_203	0.0782587	0	107/1000	Klebsiella pneumoniae subsp. pneumoniae	BR21	GCA_002951595.1	Complete
NZ_CP019047.1.fa	edge_203	0.0838645	0	94/1000	Klebsiella pneumoniae subsp. pneumoniae	RJA166	GCA_002163895.1	Complete
NZ_CP019160.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	GN-2	GCA_001939885.2	Complete
NZ_CP019219.1.fa	edge_203	0.0759181	0	113/1000	Klebsiella pneumoniae	1756	GCA_001952835.1	Complete
NZ_CP020061.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae	AR_0117	GCA_002055765.1	Complete
NZ_CP020067.1.fa	edge_203	0.0759181	0	113/1000	Klebsiella pneumoniae	AR_0068	GCA_002055855.1	Complete
NZ_CP020071.1.fa	edge_203	0.0786628	0	106/1000	Klebsiella pneumoniae	AR_0115	GCA_002056385.1	Complete
NZ_CP020108.1.fa	edge_203	0.0786628	0	106/1000	Klebsiella pneumoniae	AR_0098	GCA_002056475.1	Complete
NZ_CP020498.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae	BWHC1	GCA_003031505.1	Complete
NZ_CP020837.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	BK13043	GCA_002156725.1	Complete
NZ_CP020841.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	KPN1482	GCA_002156745.1	Complete
NZ_CP020853.1.fa	edge_203	0.0770708	0	110/1000	Klebsiella pneumoniae	KPN528	GCA_002156785.1	Complete
NZ_CP020901.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	K66-45	GCA_002113865.1	Complete
NZ_CP021165.1.fa	edge_203	0.0778587	0	108/1000	Klebsiella pneumoniae	203	GCA_003186535.1	Complete
NZ_CP021539.1.fa	edge_203	0.0786628	0	106/1000	Klebsiella pneumoniae	AR_0047	GCA_002180075.1	Complete
NZ_CP021549.1.fa	edge_203	0.0790711	0	105/1000	Klebsiella pneumoniae	AR_0112	GCA_002180155.1	Complete
NZ_CP021685.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	AR_0146	GCA_002180175.1	Complete
NZ_CP021696.1.fa	edge_203	0.0829489	0	96/1000	Klebsiella pneumoniae	AR_0158	GCA_002180255.1	Complete
NZ_CP021708.1.fa	edge_203	0.0759181	0	113/1000	Klebsiella pneumoniae	AR_0143	GCA_002180315.1	Complete
NZ_CP021718.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	AR_0129	GCA_002180295.1	Complete
NZ_CP021740.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae	AR_0126	GCA_002192315.1	Complete
NZ_CP021751.1.fa	edge_203	0.0790711	0	105/1000	Klebsiella pneumoniae	AR_0113	GCA_002192335.1	Complete
NZ_CP021757.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	AR_0138	GCA_002192375.1	Complete
NZ_CP021833.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae	AR_0120	GCA_002197225.1	Complete
NZ_CP021859.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae	AR_0125	GCA_002197505.1	Complete
NZ_CP021939.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	AR_0145	GCA_002202215.1	Complete
NZ_CP021944.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	AR_0152	GCA_002202235.1	Complete
NZ_CP021950.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	AR_0148	GCA_002202255.1	Complete
NZ_CP021955.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	AR_0107	GCA_002202275.1	Complete
NZ_CP021960.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	AR_0139	GCA_002202195.1	Complete
NZ_CP022023.1.fa	edge_203	0.0786628	0	106/1000	Klebsiella pneumoniae	19051	GCA_002209405.1	Complete
NZ_CP022127.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	DHQP1605752_NV	GCA_002211905.1	Complete
NZ_CP022573.1.fa	edge_203	0.0786628	0	106/1000	Klebsiella pneumoniae	BIC-1	GCA_002243445.1	Complete
NZ_CP022611.1.fa	edge_203	0.0759181	0	113/1000	Klebsiella pneumoniae	CDC 0106	GCA_003267985.1	Complete
NZ_CP022691.2.fa	edge_203	0.0790711	0	105/1000	Klebsiella pneumoniae subsp. pneumoniae	AUSMDU00008079	GCA_002249975.3	Complete
NZ_CP022882.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	911021	GCA_002269295.1	Complete
NZ_CP022916.1.fa	edge_203	0.0829489	0	96/1000	Klebsiella pneumoniae	ST307PT04	GCA_003597695.1	Complete
NZ_CP022919.1.fa	edge_203	0.0829489	0	96/1000	Klebsiella pneumoniae	ST307PT03	GCA_003597735.1	Complete
NZ_CP022922.1.fa	edge_203	0.0829489	0	96/1000	Klebsiella pneumoniae	ST307PT02	GCA_003597715.1	Complete
NZ_CP022924.1.fa	edge_203	0.0829489	0	96/1000	Klebsiella pneumoniae	ST307PT01	GCA_003597755.1	Complete
NZ_CP022997.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	721005	GCA_002278055.1	Complete
NZ_CP023249.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	CCUG 70742	GCA_003194285.1	Complete
NZ_CP023416.1.fa	edge_203	0.0834041	0	95/1000	Klebsiella pneumoniae	1050	GCA_003443755.1	Complete
NZ_CP023487.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae subsp. pneumoniae	ST101:960186733	GCA_001316565.3	Complete
NZ_CP023722.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae	TVGHCRE225	GCA_003203435.1	Complete
NZ_CP023839.1.fa	edge_203	0.0799006	0	103/1000	Klebsiella pneumoniae	4/1-2	GCA_003856595.1	Complete
NZ_CP023913.1.fa	edge_203	0.0820539	0	98/1000	Klebsiella pneumoniae	FDAARGOS_439	GCA_002591075.1	Complete
NZ_CP023941.1.fa	edge_203	0.0811785	0	100/1000	Klebsiella pneumoniae	FDAARGOS_444	GCA_002587165.1	Complete
NZ_CP023946.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	FDAARGOS_446	GCA_002587885.1	Complete
NZ_CP024038.1.fa	edge_203	0.0778587	0	108/1000	Klebsiella pneumoniae	QS17-0029	GCA_003073235.1	Complete
NZ_CP024191.1.fa	edge_203	0.080322	0	102/1000	Klebsiella pneumoniae	KSB1_5D	GCA_002741685.1	Complete
NZ_CP024429.1.fa	edge_203	0.0794837	0	104/1000	Klebsiella pneumoniae	DA48896	GCA_003006175.1	Complete
NZ_CP024458.1.fa	edge_203	0.0790711	0	105/1000	Klebsiella pneumoniae	QS17-0161	GCA_002752955.1	Complete
NZ_CP024482.1.fa	edge_203	0.0807479	0	101/1000	Klebsiella pneumoniae	INF322	GCA_002752815.1	Complete
